Politik,Strana,Relácia,Výrok,Rok,Mesiac,Hodnota
Eduard Heger,Oľano,Sobotné dialógy,"Dvadsaťšesť ich nominantov (opozičných strán, pozn.) sa priznalo k závažným trestným činom.",2022,2,Nepravda
Eduard Heger,Oľano,Sobotné dialógy,"Keď tu boli iné vlády, vlády, Smeru tak keď bol pokles cien, tak oni ho nepreniesli na občanov, nechali cenu stabilnú, ale my sme ten pokles cien na občanov preniesli, čiže mali lacnejšie energie v roku 2021 a v roku 2022 sa vlastne vrátili na úroveň 2019 – 2020.",2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,Maďarsko tam má prítomnosť spojeneckých vojsk už roky... samotnú DCA Maďarsko má podpísanú.,2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,"Toto nie je jediná zmluva (DCA, pozn.), ktorá tu teraz na svete existuje. Sú tu iné zmluvy, ktorými sme aj my viazaní a tie o tom veľmi konkrétne hovoria... jednoznačne sú zmluvy, ktoré hovoria, že sa nebudú, nemôžu, nesmú, akokoľvek to nazveme, rozmiestňovať atómové zbrane.",2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,"My sme na to, aby táto TPS nerástla investovali v roku 2020 160 000 000 ako vláda a v roku 2021 140 000 000 . K tomu sme pridali ďalších 40 000 000 do regulácie, aby sme ochránili občanov Slovenskej republiky od nárastu cien.",2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,"Ako viete, naša vláda vlastne zaviedla trinásty dôchodok, aby ochránila dôchodcov. Preto teda mali vyplatený novembri trinásty dôchodok, ktorým prispieva práve aj na elimináciu nárastu týchto cien.",2022,2,Zavádzajúce
Eduard Heger,Oľano,Sobotné dialógy,"Vieme, že v hospodárstve priemerná mzda opäť narástla. Tie rasty sú z poslednej prognózy 5 percentné, čo je viac ako inflácia.",2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,"Štátni a verejní zamestnanci, ktorých je 420 000 dostali odmenu 350 eur. Dobre, vo verejnej správe ich dostanú 30.6., lebo to musia vyplatiť samosprávy, to je v ich réžii, ale štátni ich dostali teraz v januári.",2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,"Dnes vykonávame 2000 operácií a z toho naozaj tie úkony covidové výrazne nižšie sú, sú myslím, že rádovo stovkové.",2022,2,Nepravda
Eduard Heger,Oľano,Sobotné dialógy,"Máme tam (vo výzvach plánu obnovy, pozn.) investíciu do strategického rozvoja vysokých škôl, máme tam na lákanie a udržanie talentov peniaze už alokované pre tento rok. Chceme podporiť 1600 študentov 8 miliónmi eur.",2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,"Rozbehli sme (na Ukrajine, pozn.) veľmi intenzívne programy pomoci, či už v oblasti roamingu…",2022,2,Neoveriteľné
Eduard Heger,Oľano,Sobotné dialógy,"My sme, nám sa podarilo dohodnúť veľmi intenzívne za posledné mesiace až týždne, že vieme navýšiť kapacitu v prípade potreby Ukrajiny z 27 tých pevných, ktoré majú kubíkov, ton, ton kubíkov, na, o ďalších 15, ktoré im garantujeme do, myslím, že konca marca.",2022,2,Pravda
Eduard Heger,Oľano,Sobotné dialógy,"Tie odchody (zdravotného personálu, pozn.) boli posledné dva roky najmenšie.",2022,2,Nepravda
Eduard Heger,Oľano,Sobotné dialógy,"Na tento rok napríklad, v roku 2022, máme vyčlenených z výziev Plánu obnovy 1,3 miliardy.",2022,2,Pravda
Martin Klus,SaS,O 5 minút 12,"Sme sa rozhodli aj my, podobne, ako už pred pár dňami Spojené štáty a Spojené kráľovstvo stiahnuť rodinných príslušníkov diplomatického personálu.",2022,2,Pravda
Martin Klus,SaS,O 5 minút 12,"Viaceré krajiny dokonca pristúpili k tomu, že vyzývajú občanov aby opustili územie Ukrajiny, takto ďaleko my zatiaľ nezachádzame, len sme zvýšili cestovné odporúčanie na tretí stupeň z pomyselných štyroch.",2022,2,Pravda
Peter Kmec,Hlas-SD,O 5 minút 12,"…pretože to vylúčili dokonca aj ukrajinský minister obrany a náčelník Generálneho štábu, štábu, že nevidia tam momentálne útočné zoskupenia, ktoré by mali bezprostredne zaútočiť na Ukrajinu.",2022,2,Zavádzajúce
Juraj Krúpa,Oľano,O 5 minút 12,"Rok 1994 budapeštianske memorandum, kde Ruská federácia a Spojené štáty americké garantovali územnú celistvosť, suverenitu a nezávislosť Ukrajiny.",2022,2,Pravda
Juraj Krúpa,Oľano,O 5 minút 12,"Keď si pozrieme a porovnáme armádu Ukrajiny v porovnaní s armádou Ruskej federácie, tak je tam stále, stále je tam značný nepomer.",2022,2,Pravda
Marián Kéry,SMER-SD,O 5 minút 12,"Pokiaľ ruské vojská sa nepriblížili k ukrajinskej hranice, nikto nebol ochotný viesť s Moskvou žiadny dialóg.",2022,2,Nepravda
Martin Klus,SaS,O 5 minút 12,"Faktom je, že v roku 2014 to bola Ruská federácia, ktorá poslala najprv neoznačených mužíkov a potom už regulérne vojsko na Krym, anektovali túto časť Ukrajiny a potom sa vyvolal veľmi nebezpečný a veľmi nepríjemný konflikt (...), tam zomrelo 10 000 ľudí na ukrajinskom území.",2022,2,Pravda
Martin Klus,SaS,O 5 minút 12,"Bola tu olympiáda v Pekingu, taká istá ako teraz beží, v roku 2008 keď zaútočili (Rusko, pozn.) na Gruzínsko. Dodnes okupujú dve časti gruzínskeho územia, tak, ako ho uznávame my.",2022,2,Pravda
Marián Kéry,SMER-SD,O 5 minút 12,Na našom území sa bude konať cvičenie Saber Strike 2022.,2022,2,Pravda
Juraj Krúpa,Oľano,O 5 minút 12,"My máme viacero bilaterálnych zmlúv s inými krajinami, medzi nimi aj s Ruskou federáciou, ale aj s Ukrajinou alebo s Izraelom a tak ďalej.",2022,2,Pravda
Peter Kmec,Hlas-SD,O 5 minút 12,"Už samotný Ron Asmus, ktorý je zakladateľ a otcom myšlienky rozširovania NATO v deväťdesiatych rokoch upozorňoval na to, že NATO sa môže rozširovať iba vtedy, keď budú rešpektované legitímne záujmy Ruskej federácie predovšetkým v jej najbližšej oblasti, a samozrejme, nemôže byť právo veta Ruska na rozširovanie NATO, avšak ten proces sa musí stále diať s diskusiou s Ruskom o rešpektovaní záujmov.",2022,2,Pravda
Peter Kmec,Hlas-SD,O 5 minút 12,"Pôvodne sa hovorilo o útoku 15. 2., avšak keď sa ohlásila návšteva kancelára Olafa Scholza Moskve, tak sa tento dátum presunul na 16. 2.",2022,2,Nepravda
Juraj Krúpa,Oľano,O 5 minút 12,"Veľmi dobre vieme, že Ukrajina sa nemôže stať členskou krajinou NATO, pretože nemá vyriešené spor na svojom území a vedie sa tam konflikt.",2022,2,Pravda
Juraj Krúpa,Oľano,O 5 minút 12,"Ukrajina bola od deväťdesiateho štvrtého neutrálnou krajinu, a vzdala sa neutrality po anexii Krymu a vojne, vojny na Donbase. Jednoducho nemala na výber, pretože mocnosti, ktoré jej garantovali neutralitu, ju sklamali, hlavne teda, čo sa týka Ruskej federácie.",2022,2,Pravda
Juraj Krúpa,Oľano,O 5 minút 12,"Zhromažďovanie síl, (...) lenže to musí byť v určitých normách, v určitom rámci medzinárodne uznanom, a na to existuje tzv. viedenský dokument OBSE, ktorý bol aktualizovaný v roku 2011, ktorý definuje, aké môžu byť cvičenia, a aké môžu byť zhluky vojenské. ",2022,2,Pravda
Marián Kéry,SMER-SD,O 5 minút 12,"Ja si pamätám, že na začiatku volebného obdobia pani prezidentky sa jej opýtali, či si vie predstaviť rozšírenie Severoatlantickej aliancie, ona odpovedala bez mihnutia oka, že vie si to predstaviť, ide o Macedónsko, o Ukrajine nikto nepovedal ani slovo.",2022,2,Nepravda
Juraj Krúpa,Oľano,O 5 minút 12,"Čo sa týka tej diskusie k DCA, tak musím povedať, že my sme teda dvadsiata štvrtá krajina, ktorá ju ratifikovala.",2022,2,Pravda
Juraj Krúpa,Oľano,O 5 minút 12,"My sme dali riadny priestor na medzirezortné pripomienkové konanie, tá zmluva bola vyrokovávaná 4 roky a bola vyrokovávaná ešte za vlád Fica, tam sa začalo, veď pán Kmec si dobre pamätá. Ešte ako veľvyslanec začal o tom viesť diskusie za americkú stranu.",2022,2,Neoveriteľné
Peter Kmec,Hlas-SD,O 5 minút 12,"Proces (pozn. vyjednávania DCA) bol samozrejme započatý v roku 2018, rokovalo sa o tejto zmluve, avšak Peter Pellegrini jednoznačne prezentoval svoje výhrady a svoje podmienky. Je to, je to vyhlásenie z roku 2019 že nepodporí zmluvu, ktorá nebude v súlade s ústavou, územnou celistvosťou, suverenitou atď.",2022,2,Pravda
Marián Kéry,SMER-SD,O 5 minút 12,"(Vládna koalícia, pozn.) zrušila akúkoľvek rozpravu a prešlo sa akurát k hlasovaniu a vrchol všetkého je, že títo demokrati z vládnej koalície nedovolili vystúpiť generálnemu prokurátorovi.",2022,2,Pravda
Juraj Krúpa,Oľano,O 5 minút 12,"Medzinárodná dohoda, ktorá je vám nanútená pod silou a pod nátlakom, nie je platná.",2022,2,Pravda
Martin Klus,SaS,O 5 minút 12,"My tu dnes máme 30 ruských vojakov na Sliači, upravujú naše Migy, aby vôbec boli ešte bojaschopné.",2022,2,Pravda
